Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
3585.23,1962.0,0.26,60.11,0.58,16.23,4.06,2.63,5.63,3.63,1.53,0.1,0.0,3.51,1.98,0.0,1.0
4011.08,1976.0,-0.96,65.59,0.23,17.77,2.52,0.97,4.15,4.19,1.16,0.07,0.0,1.51,1.83,0.0,1.0
11887.16,1980.0,-1.45,65.49,0.78,18.52,0.0,2.38,5.95,3.98,2.62,0.28,0.0,0.0,0.0,0.0,1.0
10242.83,1986.0,0.05,53.15,0.35,14.43,2.92,1.58,3.95,3.55,1.52,0.15,0.0,0.0,18.4,0.0,1.0
3534.68,1961.0,2.66,66.85,0.36,17.01,3.06,0.73,4.55,4.25,1.32,0.18,0.0,1.68,0.0,0.0,1.0
4022.34,1963.0,-4.92,52.37,0.4,15.82,3.92,1.8,5.19,3.68,1.13,0.16,0.0,0.0,15.52,0.0,1.0
9318.6,1971.0,0.8,64.07,0.45,16.9,3.46,1.99,4.77,4.18,1.9,0.16,0.0,1.51,0.6,0.0,1.0
4005.49,1989.0,-0.0,58.31,0.72,16.76,6.0,3.51,7.53,2.98,2.47,0.24,0.0,1.49,0.0,0.0,1.0
5310.89,1991.0,0.15,58.68,0.61,16.95,5.6,3.88,7.08,3.26,2.25,0.21,0.0,1.49,0.0,0.0,1.0
8686.92,1993.0,-0.96,59.86,0.62,16.89,4.99,3.6,6.59,3.86,1.88,0.23,0.0,1.49,0.0,0.0,1.0
2369.78,1957.0,-0.35,69.33,0.26,17.46,2.0,0.72,2.14,4.65,1.5,0.08,0.0,1.86,0.0,0.0,1.0
6453.0,1962.0,1.49,64.95,0.41,15.39,3.63,0.76,3.24,3.22,4.08,0.15,0.0,4.17,0.0,0.0,1.0
7821.09,1964.0,2.25,56.43,0.26,14.09,2.3,1.04,3.31,4.12,1.3,0.1,0.0,1.24,15.83,0.0,1.0
4731.75,1967.0,2.83,62.62,0.53,17.51,4.06,2.14,3.84,5.0,2.59,0.21,0.0,1.49,0.0,0.0,1.0
10665.4,1970.0,0.86,48.39,0.47,10.79,3.22,0.9,1.94,3.82,2.38,0.17,0.0,1.11,26.82,0.0,1.0
5446.63,1973.0,-3.88,70.81,0.25,14.65,2.62,1.25,2.54,4.16,2.18,0.06,0.0,1.48,0.0,0.0,1.0
2446.11,1987.0,-3.61,57.38,0.64,17.14,6.32,3.62,7.06,3.12,1.91,0.17,0.0,1.47,1.17,0.0,1.0
10932.28,1988.0,-1.22,59.89,0.63,17.24,5.09,3.32,6.06,3.81,1.86,0.22,0.0,1.48,0.42,0.0,1.0
3105.3,1948.0,2.35,64.49,0.45,17.04,3.64,1.95,4.88,4.42,1.98,0.18,0.0,0.96,0.0,0.0,1.0
7904.45,1959.0,4.81,64.08,0.52,17.83,3.6,1.88,5.22,5.16,1.47,0.24,0.0,0.0,0.0,0.0,1.0
9822.22,1968.0,4.46,63.54,0.67,15.32,4.43,2.81,4.75,3.77,3.17,0.2,0.0,0.0,1.33,0.0,1.0
7455.78,1972.0,-0.74,49.98,1.99,14.4,12.27,6.38,11.56,2.83,0.61,0.0,0.0,0.0,0.0,0.0,1.0
6660.2,1975.0,-4.87,53.41,0.83,16.69,7.84,6.23,5.62,4.02,2.05,0.23,0.0,1.47,1.6,0.0,1.0
2080.28,1982.0,-1.39,61.89,0.38,15.84,3.76,1.73,4.53,4.12,1.8,0.14,0.0,4.61,1.2,0.0,1.0
7799.54,1983.0,-2.31,68.95,0.31,15.63,2.34,1.65,4.03,4.01,1.43,0.13,0.0,1.5,0.0,0.0,1.0
11864.75,1948.0,1.56,66.11,0.41,15.33,1.27,1.36,3.4,5.06,1.84,0.13,0.0,5.1,0.0,0.0,1.0
4542.87,1951.0,-0.37,69.17,0.25,17.43,1.89,0.88,1.69,5.96,1.32,0.08,0.0,1.33,0.0,0.0,1.0
5041.15,1955.0,-3.4,60.93,0.56,16.57,7.92,1.8,3.1,2.08,3.31,0.11,0.0,2.64,0.98,0.0,1.0
3207.91,1962.0,3.15,46.72,0.07,0.21,0.0,51.51,0.85,0.09,0.41,0.02,0.0,0.0,0.13,0.0,1.0
5508.15,1966.0,2.6,51.95,1.6,14.35,11.45,6.26,11.05,2.7,0.43,0.21,0.0,0.0,0.0,0.0,1.0
4846.79,1974.0,-4.75,58.02,0.45,18.14,4.97,1.92,6.47,4.03,1.12,0.17,0.0,4.71,0.0,0.0,1.0
7240.56,1976.0,1.57,70.17,0.46,15.11,3.47,1.48,5.38,3.08,0.68,0.17,0.0,0.0,0.0,0.0,1.0
2502.71,1983.0,3.35,46.2,2.77,15.44,10.34,8.08,12.07,3.66,1.44,0.0,0.0,0.0,0.0,0.0,1.0
325.32,1961.0,-3.5,63.9,0.5,16.35,4.55,3.07,2.87,5.94,1.19,0.15,0.0,1.49,0.0,0.0,1.0
6709.39,1965.0,-4.4,49.03,0.52,15.65,4.27,2.45,5.6,3.14,1.36,0.28,0.0,1.24,16.47,0.0,1.0
6498.28,1973.0,4.69,59.25,0.58,16.87,4.82,3.13,6.22,3.93,1.88,0.2,0.0,1.46,1.66,0.0,1.0
