Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
5562.95,1972.0,1.96,53.15,0.35,14.43,2.92,1.58,3.95,3.55,1.52,0.15,0.0,0.0,18.4,0.0,1.0
2350.42,1973.0,-4.72,57.11,0.12,1.09,0.0,40.03,0.62,0.26,0.41,0.02,0.0,0.0,0.33,0.0,1.0
2726.19,1976.0,-1.76,51.68,0.16,13.9,0.0,19.7,13.06,1.02,0.0,0.0,0.0,0.0,0.47,0.0,1.0
4180.92,1983.0,-0.02,64.24,0.46,17.08,3.51,1.95,4.96,4.27,1.96,0.17,0.0,0.0,1.39,0.0,1.0
3486.18,1988.0,4.08,48.09,0.1,2.91,0.0,46.11,2.31,0.4,0.04,0.04,0.0,0.0,0.0,0.0,1.0
341.82,1991.0,-0.07,65.81,0.24,15.88,2.33,0.98,4.07,4.01,1.39,0.1,0.0,5.19,0.0,0.0,1.0
7746.42,1993.0,2.22,66.13,0.37,17.84,2.53,1.4,4.21,5.81,1.6,0.11,0.0,0.0,0.0,0.0,1.0
1577.4,1945.0,-0.54,54.85,1.01,17.53,6.77,4.08,7.36,3.75,1.61,0.42,0.0,1.47,1.15,0.0,1.0
3985.47,1946.0,2.52,57.27,0.56,14.9,6.91,5.36,7.34,3.99,0.89,0.27,0.0,1.46,1.04,0.0,1.0
4789.74,1948.0,-3.9,55.47,0.79,16.26,5.67,3.73,6.61,4.07,1.8,0.44,0.0,5.16,0.0,0.0,1.0
7841.95,1949.0,1.73,53.16,0.79,17.59,7.61,6.37,10.04,2.64,1.6,0.19,0.0,0.0,0.0,0.0,1.0
6214.92,1963.0,-1.18,49.71,0.06,16.97,0.0,21.04,11.29,0.49,0.4,0.04,0.0,0.0,0.0,0.0,1.0
4228.74,1966.0,-2.85,57.68,0.52,17.03,4.93,3.4,6.21,4.06,1.69,0.26,0.0,2.11,2.11,0.0,1.0
2395.61,1973.0,-1.23,69.84,0.26,15.88,3.15,1.39,3.38,4.55,1.5,0.05,0.0,0.0,0.0,0.0,1.0
3482.81,1985.0,-1.27,58.84,0.72,16.12,5.99,5.46,6.51,3.12,1.75,0.0,0.0,1.48,0.0,0.0,1.0
1342.38,1950.0,-3.0,59.07,0.8,20.21,0.0,3.01,13.19,2.16,0.24,1.32,0.0,0.0,0.0,0.0,1.0
5378.62,1983.0,-1.94,61.47,0.4,16.54,3.54,1.83,4.65,4.32,1.86,0.2,0.0,5.17,0.0,0.0,1.0
4856.56,1946.0,-3.74,62.04,0.73,16.34,3.91,3.08,4.9,4.8,2.37,0.35,0.0,1.48,0.0,0.0,1.0
3172.52,1952.0,4.04,55.59,0.08,1.17,0.0,22.54,20.38,0.22,0.02,0.0,0.0,0.0,0.0,0.0,1.0
4913.04,1955.0,3.54,49.78,0.41,21.88,0.0,7.3,19.51,1.01,0.05,0.0,0.0,0.05,0.0,0.0,1.0
7948.84,1960.0,-2.14,50.51,0.31,1.42,0.0,45.62,0.51,0.26,0.79,0.06,0.0,0.0,0.52,0.0,1.0
2687.69,1961.0,2.37,64.95,0.41,15.39,3.63,0.76,3.24,3.22,4.08,0.15,0.0,3.67,0.49,0.0,1.0
4124.1,1963.0,1.21,59.36,0.68,16.41,5.74,3.65,6.7,2.8,2.97,0.2,0.0,1.49,0.0,0.0,1.0
6199.37,1964.0,-3.69,43.92,0.06,1.62,7.86,44.98,1.47,0.04,0.0,0.04,0.0,0.0,0.0,0.0,1.0
5358.75,1968.0,2.27,60.15,0.55,17.05,4.29,2.62,5.92,4.11,1.93,0.22,0.0,1.46,1.69,0.0,1.0
4782.71,1945.0,2.65,64.24,0.23,18.02,2.18,0.84,3.85,3.92,1.42,0.09,0.0,5.21,0.0,0.0,1.0
5163.3,1949.0,-2.32,61.48,0.61,17.59,3.57,2.29,4.41,4.06,3.11,0.28,0.0,2.59,0.0,0.0,1.0
10034.65,1956.0,0.77,76.98,0.16,13.57,0.0,0.11,0.89,3.15,5.14,0.01,0.0,0.0,0.0,0.0,1.0
512.74,1966.0,-3.52,64.06,0.69,15.5,3.91,2.27,3.75,3.65,3.16,0.3,0.0,1.48,1.24,0.0,1.0
6789.59,1987.0,2.13,52.54,1.07,15.63,7.19,7.53,9.57,3.09,1.35,0.55,0.0,1.49,0.0,0.0,1.0
9513.23,1991.0,-1.24,51.03,1.73,14.58,10.68,7.15,11.86,2.67,0.12,0.18,0.0,0.0,0.0,0.0,1.0
3186.78,1957.0,1.14,51.32,2.22,14.01,12.16,6.05,10.77,3.07,0.2,0.2,0.0,0.0,0.0,0.0,1.0
8619.43,1960.0,-2.17,67.75,0.4,15.92,1.32,1.24,4.69,5.34,1.28,0.57,0.0,1.49,0.0,0.0,1.0
17.41,1962.0,1.61,54.93,0.65,15.18,0.0,9.9,16.45,2.78,0.1,0.01,0.0,0.0,0.0,0.0,1.0
4167.64,1967.0,-3.1,55.31,1.01,17.2,6.72,4.07,7.32,3.79,1.71,0.43,0.0,1.48,0.96,0.0,1.0
10118.15,1974.0,1.34,61.19,0.56,17.35,4.36,2.66,6.03,4.18,1.97,0.22,0.0,1.49,0.0,0.0,1.0
1702.04,1979.0,-1.17,56.35,0.65,16.86,3.18,3.21,7.16,4.06,0.52,0.28,0.0,1.38,6.35,0.0,1.0
308.43,1992.0,-1.34,68.17,0.42,14.45,1.9,1.41,1.88,2.96,6.55,0.19,0.0,2.07,0.0,0.0,1.0
6157.51,1952.0,-1.96,52.04,0.77,17.39,7.47,6.27,9.78,2.58,1.6,0.2,0.0,1.49,0.41,0.0,1.0
6735.01,1953.0,-2.51,55.64,0.77,16.15,6.41,5.81,7.81,3.37,1.97,0.23,0.0,1.55,0.28,0.0,1.0
8098.76,1956.0,0.65,56.52,0.7,16.4,6.05,5.88,7.7,3.72,1.33,0.22,0.0,1.49,0.0,0.0,1.0
4492.71,1960.0,0.62,71.58,0.27,17.55,2.05,0.76,2.22,4.79,0.73,0.07,0.0,0.0,0.0,0.0,1.0
11394.87,1962.0,-2.23,56.91,0.88,16.75,6.36,4.2,5.79,4.55,1.81,0.27,0.0,1.51,0.97,0.0,1.0
11583.11,1970.0,1.1,67.12,0.66,14.55,4.39,0.72,1.69,6.57,0.94,0.13,0.0,3.22,0.0,0.0,1.0
4420.69,1971.0,-1.28,63.31,0.58,16.3,8.02,1.92,2.83,2.61,2.82,0.11,0.0,1.5,0.0,0.0,1.0
1227.69,1976.0,2.39,70.6,0.16,14.44,0.87,0.68,1.22,5.83,1.69,0.01,0.0,4.48,0.0,0.0,1.0
1107.23,1979.0,-2.19,48.07,0.83,14.41,8.01,12.18,10.04,2.75,0.8,0.3,0.0,1.48,1.13,0.0,1.0
7383.73,1988.0,3.68,64.28,0.79,16.08,3.37,0.39,2.18,4.28,4.07,0.31,0.0,4.24,0.0,0.0,1.0
3247.94,1993.0,-1.76,54.19,0.53,12.17,3.65,2.21,4.74,3.09,1.4,0.19,0.0,1.27,16.56,0.0,1.0
9180.14,1946.0,2.85,50.14,1.48,15.78,9.64,7.87,12.0,2.74,0.14,0.2,0.0,0.0,0.0,0.0,1.0
5819.51,1947.0,1.81,69.74,0.24,16.59,2.32,1.02,4.05,4.12,1.83,0.09,0.0,0.0,0.0,0.0,1.0
10895.03,1952.0,-1.3,67.02,0.42,16.19,2.43,0.95,1.94,4.29,3.45,0.14,0.0,3.16,0.0,0.0,1.0
781.38,1954.0,-3.4,59.04,0.29,15.51,2.93,1.83,4.58,4.0,0.79,0.18,0.0,1.27,9.59,0.0,1.0
4269.24,1967.0,4.55,59.46,0.84,17.45,5.65,3.6,6.54,3.43,2.03,0.37,0.0,0.62,0.0,0.0,1.0
7501.13,1975.0,-0.21,60.07,1.04,15.72,5.05,2.68,4.53,4.14,3.23,0.5,0.0,1.46,1.57,0.0,1.0
