,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO
161187.4872638,62.867198980067414,0.5191051412788422,17.8813889314563,3.5745263061989667,2.090289786447246,3.734783172941288,4.715535252838337,2.7153954050482945,0.20209436797878585,0.04854227466157112,1.4859879998440138,0.0,0.1651523812389383
559218.5487889,61.63200323878551,0.6576143449297686,12.28191497148244,6.034578694649641,3.046301744895251,5.299597956198723,3.5781957003531524,1.286216292289106,0.2127575821831604,0.06769559433100558,3.838051865714294,2.031178562262257,0.033893451925722455
48219.7066668,60.0,0.44,18.15,3.99,2.53,5.3,4.76,2.47,0.2,0.1,2.0600000000000023,0.0,0.0
5837460.1785708,50.57274919614148,1.7483922829581995,15.765675241157556,9.194131832797428,7.877813504823152,11.012861736334406,3.3259646302250805,0.12057877813504823,0.17081993569131834,0.2110128617363344,0.0,0.0,0.0
1745277.6869445,49.97641675113148,1.4250303571607772,16.558451333206214,8.251126476461907,8.128694290846687,11.34003030698365,3.211336016136963,0.35123987676498025,0.18063765090770414,0.11038967555470809,0.46664726484490243,0.0,0.0
431885.8656868,72.62073527311071,0.16778370476255533,13.856960087448687,1.7469244554689585,0.7797007456612866,2.1121007540698145,4.352506694134524,2.7733659434281206,0.0493481484595751,0.02960888907574506,1.480444453787253,0.0,0.030520850592758598
568185.4730034,68.30617283950616,0.21728395061728395,16.958024691358027,2.2320987654320983,1.037037037037037,4.059259259259259,4.187654320987654,1.3728395061728393,0.08888888888888888,0.059259259259259255,1.4814814814814814,0.0,0.0
889841.7945705,62.049214820702296,0.6118658428811573,16.109123666674417,4.782760700402794,2.728319823994671,5.687343162518296,3.0593292144057815,3.249910378581886,0.13039763864680423,0.08024470070572559,1.4853294100629797,0.0,0.026160640423191238
889879.8456553,52.58213354206183,0.9580346972932129,17.094931629825744,7.288376697617754,6.396877510051554,8.901739062349433,3.2832647438486093,1.2175024278101243,0.3692425395817587,0.11975433716165174,1.4854028595688358,0.0,0.3027399528294892
354503.1834152,57.52464272523957,0.6982816949037458,15.293352613736971,5.478069071287133,4.779787376383387,7.484399574954234,4.317544564264006,2.134184898508632,0.5212525328154723,0.1180194413921824,1.47524301740228,0.0,0.17522248911236601
885939.4904965,70.2,0.38,14.93,2.1327759215042885,1.25,1.91,4.64,3.02,0.14,0.02,1.377224078495717,0.0,0.0
1695251.5844505,61.844433634393255,0.3974015873816507,16.751712846087766,3.55569841341477,1.7017914866343418,4.74410028955607,4.145145743980855,1.6447481965795594,0.1521154401460864,0.07510699857213017,4.9693735555483185,0.0,0.018371807705188852
964232.6087569,59.4,0.837,17.434,5.646298211486677,3.601,6.528,3.43,2.025,0.367,0.108,0.6237017885133156,0.0,0.0
568170.1605869,68.05294873061345,0.22720537390101747,16.674898745431193,2.380717178701966,0.9878494517435542,4.158846191840363,4.4156870492936875,1.4718956830978958,0.08890645065691988,0.05927096710461325,1.4817741776153313,0.0,0.0
1622998.4010511,68.52203789255512,0.3445792135401479,15.949095026715417,2.1462362443357788,1.0829632425547506,2.0970106424014716,5.158843082715357,3.012606838379579,0.15752192618978192,0.029535361160584105,1.4767680580292053,0.0,0.022802471422824315
354489.1722388,63.46858648114666,0.6894477116201531,17.30513756166584,4.205631040882933,1.083417832545955,4.235178799952369,5.003420535757682,2.097890893929894,0.32502534976378644,0.07879402418516035,1.4773879534717564,0.0,0.030081815077815217
568164.8866541,63.076677316293924,0.2204472843450479,15.64217252396166,2.204472843450479,0.9968051118210862,3.7188498402555905,3.920127795527156,1.6102236421725238,0.07667731629392971,0.0670926517571885,8.46645367412141,0.0,0.0
490662.8768971,66.02,0.44,15.44,2.860618875037209,1.76,2.89,5.37,2.48,0.21,0.06,2.4693811249627964,0.0,0.0
1695278.3842661,61.08290033384039,0.3784063499748184,16.844272685911495,3.095194084582056,1.745764956242928,4.076597087010513,4.265328433631369,1.6230895809393708,0.10380224064147138,0.05850671745246569,6.7099563669489,0.0,0.016181162824238808
346598.9471557,64.0,0.67,13.39,5.002067297201612,3.86,3.42,4.54,2.96,0.31,0.07,1.5450481993448488,0.0,0.23288450345353992
4803231.7980728,47.08544754276738,1.9610425006966024,16.137745578649124,13.877550177740872,5.985265132334423,10.520175915195315,3.299045456901055,0.7966735159079947,0.22470278653815237,0.11235139326907619,0.0,0.0,0.0
929852.1359570,54.869456307152596,0.928417196398521,15.226042020935743,5.431240598931348,2.785251589195563,4.177877383793344,4.270719103433197,2.599568149915859,0.3713668785594084,0.0928417196398521,9.211537838224976,0.0,0.03568121381959626
346598.3865680,62.52830472492175,0.6545931900890246,13.082093754167223,4.887043565843565,3.771238378721843,3.341356283738006,4.435601616424137,2.891934093527631,0.30287147601133974,0.06839033329288317,1.8532053618102515,1.9558379527389826,0.22752926871335993
889800.8938475,60.03667579735747,0.6174738195310755,17.09693903586865,5.018698649123859,3.2594519653935454,6.235473325100699,4.018641087767815,1.8321764153299125,0.2226954758964538,0.09110269468491274,1.4848220855396033,0.0,0.08584964840598357
349224.9722117,57.51524430414201,1.1263444674124303,16.84396953539498,8.611415428125945,3.4302308780287647,3.97292412141839,5.836512240228048,0.2047899031658964,0.2764663692739602,0.12287394189953783,1.535924273744223,0.0,0.5233045371658323
