source,phase,n,rho mae,rho mean_rel%,rho p95_rel%,rho max_rel%,H mae,H mean_rel%,H p95_rel%,H max_rel%,S mae,S mean_rel%,S p95_rel%,S max_rel%,V mae,V mean_rel%,V p95_rel%,V max_rel%,Cp mae,Cp mean_rel%,Cp p95_rel%,Cp max_rel%
MELTS1.2.0,alkali-feldspar,1074,0.0036236136386887177,0.14290031510707107,0.1714439697770369,0.17605454574609697,0.025285489844789493,0.19077509499152273,0.22613004975628148,0.2359290517542583,0.03378440353890402,1.5297803527783675,1.7624396126582869,1.783320832596741,0.0005678155846752985,0.1439798899590265,0.1769825530241508,0.47820607032643075,0.027003925062175884,2.2796679247498446,3.5997133633962903,6.19945296705647
MELTS1.2.0,apatite,3101,0.11219228166438013,3.534060406488381,3.5340604064883805,3.5340604064883805,0.007813582765443397,0.06411149088138068,0.12734657947928404,0.5116849400563068,0.00213328237493305,0.10007665384821271,0.4391813632844751,2.0069863225700124,0.011814245082305308,3.768448505863098,5.276641666518656,20.81996717311383,0.0020557225716655715,0.18118933986019353,0.7716680063428961,3.776093654230671
MELTS1.2.0,clinopyroxene,7796,6.490223991031432e-05,0.0019284674907787294,0.004542033448390029,0.008897565630043977,0.00031729522978842884,0.0025010608375564836,0.007725532554701256,0.05844902362328911,0.00013370413430526337,0.006701164668739664,0.03185902838190911,0.14548131776385648,2.9762834167198366e-05,0.0099153967326133,0.033827234653075106,1.4849992404668166,0.0002913413496619312,0.025939253627283502,0.15670068084336547,0.6588693092674985
MELTS1.2.0,olivine,5281,2.728873179457628e-05,0.0008517677917221019,0.0017308549785389413,0.0025189362562214566,5.621905818310775e-05,0.0004776259838282515,0.0016215516492171253,0.05349128084974835,2.8617067355765978e-05,0.0011612034326606068,0.004307709513166777,0.2838416246109319,2.5089132399513767e-05,0.008346610742092938,0.03373038392835093,3.186635316687801,2.6668653158454578e-05,0.002151156996897162,0.0083152694517174,1.0428073051899636
MELTS1.2.0,orthopyroxene,6750,0.0032466816592521667,0.09231693060686823,0.013696716368746446,2.320217553908826,0.006207005353050737,0.04850317477983877,0.04761332269978014,1.1050478387834222,0.0010279820999184296,0.04888640951998601,0.3210575895328738,1.7644816931916933,0.00034661772018865857,0.11991316617179239,0.5934233034355211,6.711631390187202,0.004729900763531525,0.39789783285980923,0.47615883640576345,2118.5713292204273
MELTS1.2.0,plagioclase,8354,0.00031508307666042044,0.011999686307706382,0.03537621530443702,0.09296707041078256,0.0030702268485707958,0.022496322491913592,0.08112575300211836,0.1116294433593984,0.0035649661231822094,0.15373949867225378,0.5238434639101889,0.660436980936688,6.222940622212141e-05,0.016418151467462786,0.040231724071967796,4.9272291991696,0.0136735974798203,1.11361088193629,4.2584101222289235,13.100152885157682
MELTS1.2.0,quartz,2697,0.07378388111492756,2.8781669617255154,3.508830997592325,3.6337071111685084,0.00799273913408789,0.05740583165325829,0.22123830582150933,0.27549364424014106,0.016658525205137983,0.7859496313881948,0.9402997569123432,1.384702733934541,0.010893136808019828,2.7924380796041506,3.396165445488443,5.531306046402799,0.017719255240680534,1.358601601799213,11.661934197938626,14.322672471170867
MELTS1.2.0,rhm-oxide,3216,0.0008674541618425837,0.019090279407817892,0.0232350428352454,0.02477355125064885,0.001753477816257912,0.02200762637575043,0.039737630941593424,0.6935139765906222,0.0006842262264733705,0.03588686613815394,0.10331736817807895,1.7737962374013865,0.0005082732369123031,0.23105511559666975,0.8378574026750395,12.859340013270707,0.000571732073761297,0.059913452853614574,0.19439416905021342,2.5075342278394834
MELTS1.2.0,spinel,8057,8.680305905907352e-05,0.0019124430634668951,0.005431801008093709,0.010267949748784342,0.0006777123772462624,0.00927677230097945,0.03515974443091152,0.6896916902690925,0.0005907013797086747,0.027244849278706518,0.10816256208806707,2.2003831753899483,0.0005494425499127611,0.2429632677452484,0.9729007816707071,18.55404021359955,0.0005473206243000401,0.054030295475320705,0.2188301159134329,4.684270012083
MELTS1.2.0,tridymite,815,0.028401981640774322,1.2975511376742581,1.6895595482025179,1.7504616324468611,0.035030436781723906,0.24778854931583127,0.26547545693824964,0.31895281759267313,0.016624883537262936,0.7790675792354633,0.870969641806822,0.9683595762592457,0.005832068950461631,1.2766143531652216,1.6613936334595503,1.7237718530752633,0.00011081640067605827,0.009241301475288139,0.029156324289254867,0.6725471500202413
MELTS1.2.0,whitlockite,1605,0.00011089940585939928,0.0034901465258662247,0.0034901465258662242,0.0034901465258662242,0.002055541591392309,0.017291141446762595,0.07524120491913408,0.4169806287496623,0.0016304695817518718,0.07266190418347174,0.3692223886574998,1.2274692700370988,0.0017651383172277051,0.5558455658753725,1.7612110885350738,10.303714472140724,0.0016429416803080523,0.13299235301477935,0.6283352392678978,2.578136776561318
pMELTS,alkali-feldspar,2502,0.004826200052612397,0.1853915408233786,0.23254328499687704,0.24224724217148216,0.020814963098114318,0.1652875039646533,0.22366408949169542,0.4421160558757583,0.041212757310651243,1.9333227749452082,2.271853241201034,2.4865210066960985,0.0008297069983260398,0.21610475239959456,0.37540730083614327,11.10997904567505,0.033184009852582824,2.8450060095165055,4.254777822528332,7.184550681435961
pMELTS,clinopyroxene,20688,0.0003835927069551729,0.011398869048952813,0.0028004064911855988,1.1099504391984494,0.0020099062316522196,0.015242001750305744,0.010163072615855856,1.8333857186903377,0.0002833230652110471,0.014259592538053896,0.016991781639963417,1.4926787847637262,6.264450529265242e-05,0.02078618458410195,0.05192240929618936,4.612635177089177,0.0002720781047533973,0.023422331090940066,0.06657444778686655,1.493202145087232
pMELTS,olivine,9936,2.5900685648073585e-05,0.000804348594198306,0.0016369289063357692,0.0020298703518928708,3.0530861774034926e-05,0.0002484410774060271,0.0005401150017814762,0.007060901402191936,8.865243558565927e-06,0.0003618960579485949,0.000897109715333048,0.02548308019621374,6.555279441437939e-06,0.002101680363602795,0.006722054955960579,0.15762392139587472,0.0003993645656093332,0.033710342007748154,0.002188253269514729,9.526843804086626
pMELTS,orthopyroxene,11018,2.606217031930977e-05,0.0008068372637470821,0.001695849995699914,0.0025181173295604374,0.006411319891265321,0.051307378615123564,0.077855599015363,0.18451628427653266,3.2754005312874454e-05,0.0014448156762471714,0.006912558107676207,0.2652990965014144,2.353200732812885e-05,0.007650213958782577,0.028217611296920988,3.936020176188966,0.00030316732129002515,0.024136647136747173,0.06321013874019007,0.8267069005756836
pMELTS,plagioclase,5630,0.0003095628148465184,0.011694854547292686,0.031469313150318826,0.08360397100444773,0.01722781189285541,0.129041664376963,0.26260690898927963,0.3340228436040182,0.007076976062513149,0.29959216556495044,0.6521725057468865,0.8293197869804521,6.509213691700256e-05,0.017247901567899675,0.041075666243805195,1.6167556004763373,0.009990805525074004,0.8122744896474166,2.5179986686989118,11.276154810800522
pMELTS,quartz,5853,0.03226696574873237,1.2375057213197915,3.8200862076524067,4.139810802941766,0.02525221732360301,0.1886422387254847,0.38802368988425956,0.6194900073863048,0.02832546109069873,1.3570652648299837,1.9120126614420812,1.9730067077003453,0.004615767103360383,1.2033611830996387,3.682927976560578,4.849018171260769,0.04585637826479346,3.551846826820589,11.879598081058136,14.101559510074102
pMELTS,rhm-oxide,299,0.039150502562635026,0.8088070548960078,0.8506589437508785,0.8688411921500827,0.021194576663435372,0.3962193873029184,0.4244971877908559,0.42634994753461525,0.001958152091225318,0.10107472649181694,0.16848096722035927,0.23561033127616143,0.0016789797717564,0.8122338173530163,1.1116141110578424,1.952936093091958,0.0046265556617835785,0.5157678330426799,0.781965549788622,0.8845332179823118
pMELTS,spinel,11478,5.770946982670715e-05,0.0013175771836432028,0.0030371932799097717,0.004165346915672718,0.0003927727450387177,0.005153572407394941,0.015498243958096897,0.7822457796744842,0.0003230725418574118,0.01406544843456818,0.04488039479246393,1.8000468226245323,0.0003082783339504137,0.1310130188412882,0.4335761436234157,16.435419199615943,0.0003151144734411797,0.029808510689022592,0.09688014806646938,4.344239550692086
