Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
47 2000.00 1262.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
48 2000.00 1259.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
49 2000.00 1256.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
50 2000.00 1253.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
51 2000.00 1250.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
52 2000.00 1247.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
53 2000.00 1244.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
54 2000.00 1241.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
55 2000.00 1238.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
56 2000.00 1235.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
57 2000.00 1232.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
58 2000.00 1229.00 99.657040 48.5129 1.00995 17.5237 0.889396 0.0299984 7.5896 0 9.09952 0 0 12.3925 2.6425 0.0299892 0.0799958 0.199989
59 2000.00 1230.00 100.000000 48.5105 1.00648 17.5786 0.886345 0.0298955 7.56357 0 9.06831 0 0 12.4066 2.64077 0.0298955 0.0797214 0.199304
60 2000.00 1229.00 99.657040 48.5129 1.00995 17.5237 0.889396 0.0299984 7.5896 0 9.09952 0 0 12.3925 2.6425 0.0299892 0.0799958 0.199989
61 2000.00 1229.10 99.699876 48.5126 1.00951 17.5305 0.889014 0.0299855 7.58634 0 9.09561 0 0 12.3943 2.64229 0.0299774 0.0799614 0.199904
62 2000.00 1229.20 99.742743 48.5123 1.00908 17.5374 0.888631 0.0299726 7.58308 0 9.0917 0 0 12.3961 2.64207 0.0299657 0.079927 0.199818
63 2000.00 1229.30 99.785640 48.512 1.00865 17.5443 0.888249 0.0299598 7.57982 0 9.08779 0 0 12.3978 2.64186 0.029954 0.0798927 0.199732
64 2000.00 1229.40 99.828568 48.5117 1.00821 17.5512 0.887867 0.0299469 7.57656 0 9.08388 0 0 12.3996 2.64164 0.0299423 0.0798583 0.199646
